id,name,host_id,location,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,review_scores_rating,cancellation_policy
11060140,South End Studio Suite Apartment,51673899,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34339888,-71.0788854,Apartment,Entire home/apt,2,1,0,1,$189.00,2,,strict
14125957,South End garden studio in excellent location,39282139,"Columbus Square, Boston, MA 02116, United States",South End,2116,42.34369552,-71.07810032,Apartment,Entire home/apt,2,1,0,1,$150.00,2,97,strict
12587887,Beautifully-Appointed 2 Bed floor-thru w/parking,68277260,"East Brookline Street, Boston, MA 02118, United States",South End,2118,42.3372339,-71.06977305,Apartment,Entire home/apt,4,1,2,2,$279.00,3,100,strict
1038465,HANCOCK TOWER/COPLEY ROOM,85770,"Chandler Street, Boston, MA 02116, United States",South End,2116,42.34643651,-71.07480756,House,Private room,1,1,1,1,$135.00,1,88,moderate
12653367,Brownstone with Private Roof Deck!,14987763,"Appleton Street, Boston, MA 02116, United States",South End,2116,42.34485438,-71.07276955,Apartment,Entire home/apt,2,1,1,1,$200.00,3,,strict
8753913,Fashionable South End Condo,43449123,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.33960911,-71.07998676,Apartment,Entire home/apt,4,1,2,2,$240.00,2,96,flexible
9949819,South End Near Backbay Garden Apt,31021638,"Appleton Street, Boston, MA 02116, United States",South End,2116,42.34650892,-71.07337175,Apartment,Shared room,2,1.5,1,1,$77.00,1,100,flexible
2495047,Serene in the South End,5430185,"Tremont Street, Boston, MA 02118, United States",South End,2118,42.3418898,-71.07254315,Apartment,Entire home/apt,2,1,0,1,$160.00,27,88,strict
9853959,South End/Back Bay Apartment,50727619,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34121174,-71.07955075,Apartment,Entire home/apt,4,1,1,2,$195.00,2,,strict
10671192,1 bedroom apt in Boston South End,44392534,"West Springfield Street, Boston, MA 02118, United States",South End,2118,42.33943485,-71.08005787,Apartment,Entire home/apt,2,1,1,1,$175.00,1,100,strict
9446242,Heart of Back Bay/South End,3977458,"Berkeley Street, Boston, MA 02116, United States",South End,2116,42.34703198,-71.06957015,Apartment,Private room,1,1,1,1,$150.00,14,,flexible
9474436,South End studio with private patio,49104276,"Yarmouth Street, Boston, MA 02116, United States",South End,2116,42.34594658,-71.07724668,Apartment,Entire home/apt,2,1,1,1,$228.00,2,95,moderate
1200502,Charming Garden Studio In South End,6557340,"West Concord Street, Boston, MA 02118, United States",South End,2118,42.33843449,-71.07684759,Apartment,Entire home/apt,2,1,1,1,$145.00,2,87,strict
9757412,South End Gem,50318988,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.33676046,-71.07576189,Apartment,Private room,1,1,1,1,$89.00,1,96,strict
7508063,"Modern, Airy 2 BR Loft in South End",2064438,"East Berkeley Street, Boston, MA 02118, United States",South End,2118,42.34426013,-71.06652566,Apartment,Entire home/apt,6,1,2,2,$238.00,1,96,flexible
7901248,"South End Private Garden, Free Parking",41661623,"East Springfield Street, Boston, MA 02118, United States",South End,2118,42.33716831,-71.07499569,Apartment,Entire home/apt,3,1,1,1,$161.00,2,93,strict
14094279,One of the best rooms in Boston. Period.,84808632,"Boston, MA, United States",South End,,42.34442715,-71.06408581,Apartment,Private room,2,2,1,1,$149.00,1,100,moderate
7114655,South End Artist Loft in SOWA,271917,"East Berkeley Street, Boston, MA 02118, United States",South End,2118,42.34335555,-71.06571609,Condominium,Entire home/apt,5,1,2,5,$300.00,2,90,strict
